"%s Item(s)","%s Sản phẩm"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&Copy; Dùng thử Magento việt Nam 2008. Tất cả quyền."
"(Shift-)Click or drag to change value","(Shift-) Click hoặc kéo để thay đổi giá trịe"
"(ver. %s)","(Phiên bản. %s)"
"- Click on any of the time parts to increase it","- Click vào bất cứ bộ phận thời gian để tăng nó"
"- Hold mouse button on any of the above buttons for faster selection.","-Giữ nút chuột trên bất kỳ nút để lựa chọn nhanh hơn."
"- Use the %s buttons to select month","- Sử dụng các nút %s để chọn tháng"
"- Use the %s, %s buttons to select year","- Sử dụng nút %s, %s để chọn năm"
"- or Shift-click to decrease it","-Hoặc nhấn Shift - nhấp chuột để giảm nó"
"- or click and drag for faster selection.","- Hoặc nhấp và kéo để lựa chọn nhanh hơn."
"-- Please Select --","-- Mời bạn chọn --"
"1 column","1 cột"
"2 columns with left bar","2 cột với thanh bên trái"
"2 columns with right bar","2 cột với các thanh bên phải"
"3 columns","3 cột"
"About the calendar","Về lịch"
"All Empty Layout Pages","Bố cục trang trống"
"All One-Column Layout Pages","Bố cục các trang"
"All Pages","Tất cả các trang"
"All Pages (Print Version)","Tất cả các trang (In phiên bản)"
"All Three-Column Layout Pages","Bố cục 3- cột"
"All Two-Column Layout Pages (Left Column)","Bố cục 2- cột (cột bên trái)"
"All Two-Column Layout Pages (Right Column)","Bố cục 2- cột (cột bên phải)"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","Nhấn vào đây <a href=""%s"">here</a> nếu không có gì đã xảy ra"
"Close","Đóng"
"Close Window","Đóng cửa sổ"
"DHTML Date/Time Selector","Chọn ngày/ tháng"
"Date selection:","Chọn ngày:"
"Default Description","Mô tả mặc định"
"Default welcome msg!","Mặc định tin nhắn chào mừng!"
"Display %s first",""Hiển thị %s đầu tiên""
"Distributed under GNU LGPL. See %s for details.","Phân phối theo GNU LGPL. Xem %s để biết chi tiết."
"Drag to move","Kéo để di chuyển"
"Empty","rỗng"
"For latest version visit: %s","Ghé thăm phiên bản gần đây nhất: %s"
"Free Shipping on orders over 50$","Giao hàng miễn phí với hóa đơn trên 50$"
"Go Today","Đến hôm nay"
"Help Us to Keep Magento Healthy","Hãy giúp chúng tôi để Giữ Magento khỏe mạnh"
"Interface Language","Ngôn ngữ giao tiếp"
"Items %s to %s of %s total","%s đến %s trong %s sản phẩm"
"JavaScript seems to be disabled in your browser.","JavaScript dường như bị vô hiệu hóa trong trình duyệt của bạn."
"Left Column","Cột bên trái"
"Main Content Area","Nội dung chính"
"Navigation Bar","Hướng dẫn"
"Next","Tiếp"
"Next month (hold for menu)","Tháng tới (giữ cho menu)"
"Next year (hold for menu)","Năm tới (giữ cho menu)"
"Page Bottom","Cuối trang"
"Page Footer","Cuối trang"
"Page Header","Đầu trang"
"Page Top","Đầu trang"
"Page:","Trang:"
"Prev. month (hold for menu)","Tháng trước (giữ cho menu)"
"Prev. year (hold for menu)","Năm trước (giữ cho menu)"
"Previous","Quay lại"
"Redirecting...","Chuyển hướng..."
"Report All Bugs","Báo lỗi"
"Right Column","Cột phải"
"Select Store","Chọn cửa hàng"
"Select Store:","Chọn cửa hàng:"
"Select date","Chọn ngày"
"Show","Hiển thị"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Đây là demo của một cửa hàng. Bất kỳ đơn đặt hàng thông qua cửa hàng này sẽ không hoàn thành."
"Time selection:","Chọn thời gian:"
"Time:","Giờ:"
"Welcome, %s!","Xin chào, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Bạn phải bật Javascript trong trình duyệt của bạn để sử dụng các chức năng của trang web này."
"Your Language","Ngôn ngữ"
"Your Language:","Ngôn ngữ:"
"per page","trang"
"Home", "Trang chủ"